label,studies,theme or group,sub-theme
relationship between remittance and private investment,1,"Economy, growth and finance",Trade and investment
Ricardian trade theory,1,"Economy, growth and finance",Trade and investment
theory of comparative advantage,1,"Economy, growth and finance",Trade and investment
Trade agreements,1,"Economy, growth and finance",Trade and investment
trade flows,1,"Economy, growth and finance",Trade and investment
Trade openness,1,"Economy, growth and finance",Trade and investment
trade preferences,1,"Economy, growth and finance",Trade and investment
Remittances and financial development,7,"Economy, growth and finance",Finance and financial development
financial development,4,"Economy, growth and finance",Finance and financial development
development finance for SIDS energy sector,2,"Economy, growth and finance",Finance and financial development
Sovereign wealth funds (SWF),2,"Economy, growth and finance",Finance and financial development
external finance,1,"Economy, growth and finance",Finance and financial development
impacts of remittances on financial instability,1,"Economy, growth and finance",Finance and financial development
Public-private partnerships (PPP),1,"Economy, growth and finance",Finance and financial development
urban heritage and culture as a strategic thread for debt repayment and economic empowerment through PPP,1,"Economy, growth and finance",Finance and financial development
Entrepreneurial activity,10,"Economy, growth and finance",Entrepreneurship and private sector
Entrepreneurship,10,"Economy, growth and finance",Entrepreneurship and private sector
Information and Communication Technologies for Development (ICT4D),3,"Economy, growth and finance",Entrepreneurship and private sector
private sector development (PSD),3,"Economy, growth and finance",Entrepreneurship and private sector
competitiveness,2,"Economy, growth and finance",Entrepreneurship and private sector
manufacturing,2,"Economy, growth and finance",Entrepreneurship and private sector
Remittance to create new firms,2,"Economy, growth and finance",Entrepreneurship and private sector
small island enterprise,2,"Economy, growth and finance",Entrepreneurship and private sector
technologically progressive,2,"Economy, growth and finance",Entrepreneurship and private sector
Technology,2,"Economy, growth and finance",Entrepreneurship and private sector
agribusiness,1,"Economy, growth and finance",Entrepreneurship and private sector
diasporic entrepreneurship,1,"Economy, growth and finance",Entrepreneurship and private sector
electronic gaming,1,"Economy, growth and finance",Entrepreneurship and private sector
European Union PSD discourse,1,"Economy, growth and finance",Entrepreneurship and private sector
firm ownership,1,"Economy, growth and finance",Entrepreneurship and private sector
higher-level internet domain names,1,"Economy, growth and finance",Entrepreneurship and private sector
institutional innovations,1,"Economy, growth and finance",Entrepreneurship and private sector
Mentorship,1,"Economy, growth and finance",Entrepreneurship and private sector
micro-enterprise,1,"Economy, growth and finance",Entrepreneurship and private sector
Pacific Business Mentoring Programme,1,"Economy, growth and finance",Entrepreneurship and private sector
promoting development through business competitiveness,1,"Economy, growth and finance",Entrepreneurship and private sector
PSD as donor strategies,1,"Economy, growth and finance",Entrepreneurship and private sector
Remote working,1,"Economy, growth and finance",Entrepreneurship and private sector
self-employment,1,"Economy, growth and finance",Entrepreneurship and private sector
self-help,1,"Economy, growth and finance",Entrepreneurship and private sector
service sector,1,"Economy, growth and finance",Entrepreneurship and private sector
women entrepreneurs,1,"Economy, growth and finance",Entrepreneurship and private sector
Tourism,11,"Economy, growth and finance",Tourism
foreign aid and tourism,1,"Economy, growth and finance",Tourism
hotel investments,1,"Economy, growth and finance",Tourism
NGOs using tourism as a development tool for poverty reduction,1,"Economy, growth and finance",Tourism
tourism-foreign aid nexus,1,"Economy, growth and finance",Tourism
renewable energy,6,"Economy, growth and finance","Agriculture, fisheries and energy"
interplay of aid and energy policy,3,"Economy, growth and finance","Agriculture, fisheries and energy"
Natural resources,3,"Economy, growth and finance","Agriculture, fisheries and energy"
rural development,3,"Economy, growth and finance","Agriculture, fisheries and energy"
Climate change adaptation grants for fisheries,2,"Economy, growth and finance","Agriculture, fisheries and energy"
Energy,2,"Economy, growth and finance","Agriculture, fisheries and energy"
impact of remittances on energy consumption,2,"Economy, growth and finance","Agriculture, fisheries and energy"
impact of remittances on rural development,2,"Economy, growth and finance","Agriculture, fisheries and energy"
renewable energy consumption (REC),2,"Economy, growth and finance","Agriculture, fisheries and energy"
agricultural production,1,"Economy, growth and finance","Agriculture, fisheries and energy"
Electricity consumption,1,"Economy, growth and finance","Agriculture, fisheries and energy"
farm investment,1,"Economy, growth and finance","Agriculture, fisheries and energy"
fisheries sector,1,"Economy, growth and finance","Agriculture, fisheries and energy"
horticulture,1,"Economy, growth and finance","Agriculture, fisheries and energy"
impact of foreign aid on agricultural growth,1,"Economy, growth and finance","Agriculture, fisheries and energy"
impact of out-migration on local perceptions of agricultural and residential land,1,"Economy, growth and finance","Agriculture, fisheries and energy"
imported fuels,1,"Economy, growth and finance","Agriculture, fisheries and energy"
mangroves,1,"Economy, growth and finance","Agriculture, fisheries and energy"
ocean economy,1,"Economy, growth and finance","Agriculture, fisheries and energy"
small-scale farming,1,"Economy, growth and finance","Agriculture, fisheries and energy"
Aid for climate change,15,"Climate change, disasters and resilience",Climate adaptation and climate finance
Climate change adaptation,12,"Climate change, disasters and resilience",Climate adaptation and climate finance
effect of aid on capacity to adapt to climate change,7,"Climate change, disasters and resilience",Climate adaptation and climate finance
Climate change,6,"Climate change, disasters and resilience",Climate adaptation and climate finance
climate finance,6,"Climate change, disasters and resilience",Climate adaptation and climate finance
Adaptation aid,4,"Climate change, disasters and resilience",Climate adaptation and climate finance
remittances for adaptation to climate change,3,"Climate change, disasters and resilience",Climate adaptation and climate finance
adaptation finance,2,"Climate change, disasters and resilience",Climate adaptation and climate finance
what separates adaptation aid from standard development aid,2,"Climate change, disasters and resilience",Climate adaptation and climate finance
adaptation development aid,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
Adaptation policy response,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
aid-funded climate mobility initiatives,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
climate change mitigation,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
climate finance affecting corruption in developing countries,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
climate risk management,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
maladaptation,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
perceptions and awareness,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
politically motivated assumptions about what counts as adaptation,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
trade-offs,1,"Climate change, disasters and resilience",Climate adaptation and climate finance
Covid-19,10,"Climate change, disasters and resilience","Disasters, risk and recovery"
Remittances as reactive mechanism in disaster times,5,"Climate change, disasters and resilience","Disasters, risk and recovery"
disaster risk reduction,4,"Climate change, disasters and resilience","Disasters, risk and recovery"
foreign aid and disasters,4,"Climate change, disasters and resilience","Disasters, risk and recovery"
Remittances for disaster risk management,4,"Climate change, disasters and resilience","Disasters, risk and recovery"
role of remittances in households' response to disasters,4,"Climate change, disasters and resilience","Disasters, risk and recovery"
Disaster and post-disaster recovery,3,"Climate change, disasters and resilience","Disasters, risk and recovery"
Disaster Risk Management,3,"Climate change, disasters and resilience","Disasters, risk and recovery"
post-disaster recovery,3,"Climate change, disasters and resilience","Disasters, risk and recovery"
disaster studies,2,"Climate change, disasters and resilience","Disasters, risk and recovery"
impact of aid on disaster preparedness,2,"Climate change, disasters and resilience","Disasters, risk and recovery"
impact of aid on disaster resilience,2,"Climate change, disasters and resilience","Disasters, risk and recovery"
Caribbean Catastrophe Risk Insurance Facility,1,"Climate change, disasters and resilience","Disasters, risk and recovery"
natural shocks,1,"Climate change, disasters and resilience","Disasters, risk and recovery"
Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI),1,"Climate change, disasters and resilience","Disasters, risk and recovery"
perception of disaster risk,1,"Climate change, disasters and resilience","Disasters, risk and recovery"
political economy model for disaster prevention,1,"Climate change, disasters and resilience","Disasters, risk and recovery"
sovereign risk pools,1,"Climate change, disasters and resilience","Disasters, risk and recovery"
World Bank catastrophe bond issue,1,"Climate change, disasters and resilience","Disasters, risk and recovery"
Vulnerability,17,"Climate change, disasters and resilience",Vulnerability and resilience
Resilience,10,"Climate change, disasters and resilience",Vulnerability and resilience
climate resilience,7,"Climate change, disasters and resilience",Vulnerability and resilience
economic vulnerability,5,"Climate change, disasters and resilience",Vulnerability and resilience
role of ODA in improving resilience of coastal communities,4,"Climate change, disasters and resilience",Vulnerability and resilience
climate change resilience,3,"Climate change, disasters and resilience",Vulnerability and resilience
remittance resilience,3,"Climate change, disasters and resilience",Vulnerability and resilience
economic resilience,2,"Climate change, disasters and resilience",Vulnerability and resilience
Resilience characteristics,2,"Climate change, disasters and resilience",Vulnerability and resilience
community resilience,1,"Climate change, disasters and resilience",Vulnerability and resilience
economic vulnerability index (EVI),1,"Climate change, disasters and resilience",Vulnerability and resilience
migration and vulnerability,1,"Climate change, disasters and resilience",Vulnerability and resilience
regional resilience,1,"Climate change, disasters and resilience",Vulnerability and resilience
resilient infrastructure,1,"Climate change, disasters and resilience",Vulnerability and resilience
socio-economic vulnerability,1,"Climate change, disasters and resilience",Vulnerability and resilience
spatial heterogeneity of vulnerability,1,"Climate change, disasters and resilience",Vulnerability and resilience
structural economic vulnerability,1,"Climate change, disasters and resilience",Vulnerability and resilience
vulnerability index,1,"Climate change, disasters and resilience",Vulnerability and resilience
vulnerability index in terms of adaptation and mitigation policies,1,"Climate change, disasters and resilience",Vulnerability and resilience
climate change migration,2,"Climate change, disasters and resilience",Climate mobility
Refugee of climate change,2,"Climate change, disasters and resilience",Climate mobility
climate mobility,1,"Climate change, disasters and resilience",Climate mobility
climate-related migration,1,"Climate change, disasters and resilience",Climate mobility
Moral economy,3,"Culture, society and agency","Kinship, reciprocity and custom"
Reciprocity,3,"Culture, society and agency","Kinship, reciprocity and custom"
hybrid economic systems,2,"Culture, society and agency","Kinship, reciprocity and custom"
Social norms,2,"Culture, society and agency","Kinship, reciprocity and custom"
talanoa,2,"Culture, society and agency","Kinship, reciprocity and custom"
traditional sharing and exchange relationships,2,"Culture, society and agency","Kinship, reciprocity and custom"
Adaptive cultural practices,1,"Culture, society and agency","Kinship, reciprocity and custom"
barrel children,1,"Culture, society and agency","Kinship, reciprocity and custom"
children,1,"Culture, society and agency","Kinship, reciprocity and custom"
church-based (fakasiasi) money collecting system,1,"Culture, society and agency","Kinship, reciprocity and custom"
cultural obligation (fatongia),1,"Culture, society and agency","Kinship, reciprocity and custom"
cultural obligations,1,"Culture, society and agency","Kinship, reciprocity and custom"
cultural resources,1,"Culture, society and agency","Kinship, reciprocity and custom"
culturally specific means for socio-economic reproduction,1,"Culture, society and agency","Kinship, reciprocity and custom"
fakalakalaka,1,"Culture, society and agency","Kinship, reciprocity and custom"
Family relations,1,"Culture, society and agency","Kinship, reciprocity and custom"
fatongia,1,"Culture, society and agency","Kinship, reciprocity and custom"
indigenous global economic systems,1,"Culture, society and agency","Kinship, reciprocity and custom"
Kinship,1,"Culture, society and agency","Kinship, reciprocity and custom"
money collecting systems,1,"Culture, society and agency","Kinship, reciprocity and custom"
mutual aid societies,1,"Culture, society and agency","Kinship, reciprocity and custom"
residential area -based (fakafonua) money collecting system,1,"Culture, society and agency","Kinship, reciprocity and custom"
Rural-urban kinship connections,1,"Culture, society and agency","Kinship, reciprocity and custom"
Social relationships,1,"Culture, society and agency","Kinship, reciprocity and custom"
Traditional cultures,1,"Culture, society and agency","Kinship, reciprocity and custom"
Church,2,"Culture, society and agency","Church, religion and spirituality"
Church-led participatory approaches,2,"Culture, society and agency","Church, religion and spirituality"
spirituality,2,"Culture, society and agency","Church, religion and spirituality"
religion and development,1,"Culture, society and agency","Church, religion and spirituality"
gender dimension,4,"Culture, society and agency",Gender and social relations
Gender inequality,1,"Culture, society and agency",Gender and social relations
economic self-determination,3,"Culture, society and agency","Identity, agency and self-determination"
Pacific Islands-centred perspective,2,"Culture, society and agency","Identity, agency and self-determination"
Agency,1,"Culture, society and agency","Identity, agency and self-determination"
citizenship,1,"Culture, society and agency","Identity, agency and self-determination"
cultural identity,1,"Culture, society and agency","Identity, agency and self-determination"
development as relational,1,"Culture, society and agency","Identity, agency and self-determination"
economic empowerment,1,"Culture, society and agency","Identity, agency and self-determination"
Hybridisation,1,"Culture, society and agency","Identity, agency and self-determination"
pacific resistance,1,"Culture, society and agency","Identity, agency and self-determination"
self-determination,1,"Culture, society and agency","Identity, agency and self-determination"
social visibility,1,"Culture, society and agency","Identity, agency and self-determination"
sovereign,1,"Culture, society and agency","Identity, agency and self-determination"
theory of indigenous epistemology,1,"Culture, society and agency","Identity, agency and self-determination"
social cost of labour migrations,6,"Culture, society and agency",Social change and cultural impacts
cultural impacts of labour migration,3,"Culture, society and agency",Social change and cultural impacts
social cost,2,"Culture, society and agency",Social change and cultural impacts
socio-cultural resilience,2,"Culture, society and agency",Social change and cultural impacts
Cultural resilience,1,"Culture, society and agency",Social change and cultural impacts
social change,1,"Culture, society and agency",Social change and cultural impacts
Urbanisation,1,"Culture, society and agency",Social change and cultural impacts
Governance,13,Governance and institutions,"Governance, corruption and institutions"
Weak institutions,6,Governance and institutions,"Governance, corruption and institutions"
Corruption,5,Governance and institutions,"Governance, corruption and institutions"
Crime and remittance,3,Governance and institutions,"Governance, corruption and institutions"
institutions,2,Governance and institutions,"Governance, corruption and institutions"
aid negative impact on governance,1,Governance and institutions,"Governance, corruption and institutions"
fragile states,1,Governance and institutions,"Governance, corruption and institutions"
global governance,1,Governance and institutions,"Governance, corruption and institutions"
Remittance weaken democratic institutions,1,Governance and institutions,"Governance, corruption and institutions"
remittances and corruption,1,Governance and institutions,"Governance, corruption and institutions"
state fragility,1,Governance and institutions,"Governance, corruption and institutions"
structural covariate of homicide,1,Governance and institutions,"Governance, corruption and institutions"
Policy,4,Governance and institutions,Policy and political economy
neostructuralism,1,Governance and institutions,Policy and political economy
policy reform,1,Governance and institutions,Policy and political economy
political economy,1,Governance and institutions,Policy and political economy
political leaders,1,Governance and institutions,Policy and political economy
recipient country policy-makers,1,Governance and institutions,Policy and political economy
Pacific Island Countries,91,Places and regions,Pacific
Fiji,19,Places and regions,Pacific
Tonga,18,Places and regions,Pacific
Asia-Pacific,9,Places and regions,Pacific
Vanuatu,9,Places and regions,Pacific
Oceania,7,Places and regions,Pacific
Samoa,7,Places and regions,Pacific
Micronesia,6,Places and regions,Pacific
Kiribati,5,Places and regions,Pacific
Papua New Guinea (PNG),5,Places and regions,Pacific
Solomon Islands,5,Places and regions,Pacific
Marshall Islands,4,Places and regions,Pacific
Tuvalu,4,Places and regions,Pacific
Niue,3,Places and regions,Pacific
Timor-Leste,3,Places and regions,Pacific
Cook Islands,2,Places and regions,Pacific
East Asia and Pacific (EAP),2,Places and regions,Pacific
Melanesia,2,Places and regions,Pacific
Nauru,2,Places and regions,Pacific
Pacific microeconomies,1,Places and regions,Pacific
Caribbean,40,Places and regions,Caribbean and Latin America
Jamaica,17,Places and regions,Caribbean and Latin America
Haiti,5,Places and regions,Caribbean and Latin America
latin america and caribbean (LAC),5,Places and regions,Caribbean and Latin America
CARICOM,2,Places and regions,Caribbean and Latin America
Caribbean Community and Common Market (CARICOM),1,Places and regions,Caribbean and Latin America
Cuba,1,Places and regions,Caribbean and Latin America
Latin America,1,Places and regions,Caribbean and Latin America
St. Vincent and the Grenadines,1,Places and regions,Caribbean and Latin America
Indian Ocean,4,Places and regions,Africa and Indian Ocean
Comoros,3,Places and regions,Africa and Indian Ocean
Africa,2,Places and regions,Africa and Indian Ocean
Maldives,2,Places and regions,Africa and Indian Ocean
Cape Verde,1,Places and regions,Africa and Indian Ocean
Madagascar,1,Places and regions,Africa and Indian Ocean
Mauritius,1,Places and regions,Africa and Indian Ocean
Small Island Developing States (SIDS),58,Places and regions,Small state and SIDS scope
small island territories,5,Places and regions,Small state and SIDS scope
Small island jurisdictions,4,Places and regions,Small state and SIDS scope
small states,2,Places and regions,Small state and SIDS scope
Middle-Income Countries,1,Places and regions,Small state and SIDS scope
Overseas Territories and the Commonwealth,1,Places and regions,Small state and SIDS scope
Small Developing Countries (SDCs),1,Places and regions,Small state and SIDS scope
small economies,1,Places and regions,Small state and SIDS scope
Australia,14,Places and regions,Metropolitan and donor countries
New Zealand,8,Places and regions,Metropolitan and donor countries
Japan,5,Places and regions,Metropolitan and donor countries
Mexico,1,Places and regions,Beyond the islands
Middle East,1,Places and regions,Beyond the islands
Philippines,1,Places and regions,Beyond the islands
South Asia,1,Places and regions,Beyond the islands
Interviews,8,"Methods, data and design",Qualitative and field methods
Qualitative interviews,4,"Methods, data and design",Qualitative and field methods
ethnographic research,3,"Methods, data and design",Qualitative and field methods
Focus group discussions,2,"Methods, data and design",Qualitative and field methods
Participant observation,2,"Methods, data and design",Qualitative and field methods
semi-structured interviews,2,"Methods, data and design",Qualitative and field methods
auto-ethnographic insights,1,"Methods, data and design",Qualitative and field methods
content analysis,1,"Methods, data and design",Qualitative and field methods
critical auto-ethnography,1,"Methods, data and design",Qualitative and field methods
in-depth interviews,1,"Methods, data and design",Qualitative and field methods
interview,1,"Methods, data and design",Qualitative and field methods
micro-economic study,1,"Methods, data and design",Qualitative and field methods
mixed-method approach,1,"Methods, data and design",Qualitative and field methods
Pacific ontologies method,1,"Methods, data and design",Qualitative and field methods
policy document analysis,1,"Methods, data and design",Qualitative and field methods
systematic literature review,1,"Methods, data and design",Qualitative and field methods
textual analyses,1,"Methods, data and design",Qualitative and field methods
Empirical,7,"Methods, data and design",Econometric and quantitative methods
Autoregressive distributed lag (ARDL),5,"Methods, data and design",Econometric and quantitative methods
Granger causality testing,5,"Methods, data and design",Econometric and quantitative methods
Annual panel data,4,"Methods, data and design",Econometric and quantitative methods
dynamic panel data methods,4,"Methods, data and design",Econometric and quantitative methods
two-stage least square instrumental variable estimator,3,"Methods, data and design",Econometric and quantitative methods
vector auto regression (VAR) model,3,"Methods, data and design",Econometric and quantitative methods
econometrics,2,"Methods, data and design",Econometric and quantitative methods
Generalized method of moments (GMM),2,"Methods, data and design",Econometric and quantitative methods
Impulse response analysis,2,"Methods, data and design",Econometric and quantitative methods
methods,2,"Methods, data and design",Econometric and quantitative methods
Ordinary Least Squares regression techniques,2,"Methods, data and design",Econometric and quantitative methods
panel data methodology,2,"Methods, data and design",Econometric and quantitative methods
Aid Relationships Quality Scale (ARQS),1,"Methods, data and design",Econometric and quantitative methods
autoregressive bounds,1,"Methods, data and design",Econometric and quantitative methods
Bayesian techniques,1,"Methods, data and design",Econometric and quantitative methods
Blundell-Bond Generalized Method of Moments (GMM),1,"Methods, data and design",Econometric and quantitative methods
causal relationships between latent variables,1,"Methods, data and design",Econometric and quantitative methods
choice-theoretic model,1,"Methods, data and design",Econometric and quantitative methods
Cobb-Douglas production function,1,"Methods, data and design",Econometric and quantitative methods
comparative panel data analysis,1,"Methods, data and design",Econometric and quantitative methods
Computable General Equilibrium (CGE),1,"Methods, data and design",Econometric and quantitative methods
country-fixed-effects model,1,"Methods, data and design",Econometric and quantitative methods
development economics,1,"Methods, data and design",Econometric and quantitative methods
endogeneity of the remittances with respect to labour supply,1,"Methods, data and design",Econometric and quantitative methods
Engel curve estimation,1,"Methods, data and design",Econometric and quantitative methods
Engel curve estimation using the Working (1943) approach,1,"Methods, data and design",Econometric and quantitative methods
fixed-effects model,1,"Methods, data and design",Econometric and quantitative methods
Heckman model,1,"Methods, data and design",Econometric and quantitative methods
instrumental variable Tobit (Amemiya generalized least squares),1,"Methods, data and design",Econometric and quantitative methods
Konya (2006) Bootstrap panel Granger-causality test technique,1,"Methods, data and design",Econometric and quantitative methods
Leveraging linear and flexible orthodox and machine-learning tools,1,"Methods, data and design",Econometric and quantitative methods
machine algorithms developed from a manual pilot study,1,"Methods, data and design",Econometric and quantitative methods
measuring remittances using different methodologies,1,"Methods, data and design",Econometric and quantitative methods
Multitrait-Multimethod Matrix,1,"Methods, data and design",Econometric and quantitative methods
Multivariate logistic regression analyses,1,"Methods, data and design",Econometric and quantitative methods
non-linear framework measured as share of GDP,1,"Methods, data and design",Econometric and quantitative methods
nonlinear autoregressive distributed lag (NARDL) model,1,"Methods, data and design",Econometric and quantitative methods
Ordinal logistic regression and structural equation modeling,1,"Methods, data and design",Econometric and quantitative methods
panel cointegration and Pooled Mean Group (PMG) estimation of dynamic heterogeneous panels,1,"Methods, data and design",Econometric and quantitative methods
panel cointegration tests,1,"Methods, data and design",Econometric and quantitative methods
panel corrected standard errors,1,"Methods, data and design",Econometric and quantitative methods
panel-corrected standard errors estimator,1,"Methods, data and design",Econometric and quantitative methods
Propensity Score Matching (PSM),1,"Methods, data and design",Econometric and quantitative methods
quadratic match-averaging and the bounds-testing approach,1,"Methods, data and design",Econometric and quantitative methods
quantitative cross-sectional research design,1,"Methods, data and design",Econometric and quantitative methods
quantitative multi-sector model of the world economy calibrated to aggregate and firm-level data,1,"Methods, data and design",Econometric and quantitative methods
reverse causation,1,"Methods, data and design",Econometric and quantitative methods
Robust vector error correction modelling framework,1,"Methods, data and design",Econometric and quantitative methods
scale-domain matrix and cascading effect analysis,1,"Methods, data and design",Econometric and quantitative methods
selection bias and endogeneity of remittances,1,"Methods, data and design",Econometric and quantitative methods
selectivity issues,1,"Methods, data and design",Econometric and quantitative methods
selectivity problem in measuring remittance impacts,1,"Methods, data and design",Econometric and quantitative methods
statistical analysis,1,"Methods, data and design",Econometric and quantitative methods
statistically adequate vector error correction,1,"Methods, data and design",Econometric and quantitative methods
time-varying cointegration model,1,"Methods, data and design",Econometric and quantitative methods
two-part fractional response model with instrumental variables,1,"Methods, data and design",Econometric and quantitative methods
two-sector dynamic stochastic general equilibrium model,1,"Methods, data and design",Econometric and quantitative methods
Vector error correction modelling,1,"Methods, data and design",Econometric and quantitative methods
zero-altered negative binomial (with logit inflation),1,"Methods, data and design",Econometric and quantitative methods
Household surveys,14,"Methods, data and design",Data sources
world bank data,4,"Methods, data and design",Data sources
survey,2,"Methods, data and design",Data sources
Survey on Health,2,"Methods, data and design",Data sources
Well-Being and Aging in Latin America and Caribbean (SABE),2,"Methods, data and design",Data sources
aggregate level data,1,"Methods, data and design",Data sources
Data on bilateral adaptation aid,1,"Methods, data and design",Data sources
dynamic cross-country panel dataset,1,"Methods, data and design",Data sources
historical database of ODA projects,1,"Methods, data and design",Data sources
household income and expenditure survey,1,"Methods, data and design",Data sources
Jamaican Survey of Living Conditions,1,"Methods, data and design",Data sources
large cross-country panel dataset,1,"Methods, data and design",Data sources
multi-donor dataset of individual aid projects,1,"Methods, data and design",Data sources
Project-level data from AidData,1,"Methods, data and design",Data sources
Rakuten Insight (online market research),1,"Methods, data and design",Data sources
Remittance data from employment agencies,1,"Methods, data and design",Data sources
Conceptual,11,"Methods, data and design","Conceptual, theoretical and review contributions"
background,7,"Methods, data and design","Conceptual, theoretical and review contributions"
theoretical,2,"Methods, data and design","Conceptual, theoretical and review contributions"
economic theory,1,"Methods, data and design","Conceptual, theoretical and review contributions"
literature review,1,"Methods, data and design","Conceptual, theoretical and review contributions"
theoretical economic literature,1,"Methods, data and design","Conceptual, theoretical and review contributions"
